,datetime,title,source,link
85,8/21/2025 1:35:27 AM,James Hardie (JHIUF) was downgraded to a Sell Rating at Ord Minnett,TipRanks,/news/stocks/james-hardie-jhiuf-was-downgraded-to-a-sell-rating-at-ord-minnett-1035060417
86,8/21/2025 12:35:45 AM,Macquarie Sticks to Their Buy Rating for James Hardie (JHIUF),TipRanks,/news/stocks/macquarie-sticks-to-their-buy-rating-for-james-hardie-jhiuf-1035060278
87,8/21/2025 12:05:18 AM,Morgans Sticks to Their Buy Rating for James Hardie (JHIUF),TipRanks,/news/stocks/morgans-sticks-to-their-buy-rating-for-james-hardie-jhiuf-1035060227
88,8/20/2025 5:25:09 PM,James Hardie (JHIUF) Receives a Buy from Morgan Stanley,TipRanks,/news/stocks/james-hardie-jhiuf-receives-a-buy-from-morgan-stanley-1035059197
89,8/20/2025 4:06:29 PM,James Hardie falls -34.9%,TipRanks,/news/stocks/james-hardie-falls--34-9-1035059090
90,8/20/2025 4:05:49 PM,"Target names CEO successor, Guess to go private: Morning Buzz",TipRanks,/news/stocks/target-names-ceo-successor-guess-to-go-private-morning-buzz-1035059096
91,8/20/2025 2:00:35 PM,James Hardie falls -36.4%,TipRanks,/news/stocks/james-hardie-falls--36-4-1035058850
92,8/20/2025 11:45:16 AM,James Hardie price target lowered to $25 from $35 at Truist,TipRanks,/news/stocks/james-hardie-price-target-lowered-to-25-from-35-at-truist-1035058324
93,8/20/2025 11:40:58 AM,James Hardie price target lowered to $25 from $32 at Baird,TipRanks,/news/stocks/james-hardie-price-target-lowered-to-25-from-32-at-baird-1035058332
94,8/20/2025 10:35:37 AM,Bank of America Securities Sticks to Their Buy Rating for James Hardie Industries PLC (JHX),TipRanks,/news/stocks/bank-of-america-securities-sticks-to-their-buy-rating-for-james-hardie-industries-plc-jhx-1035058021
95,8/20/2025 10:06:05 AM,James Hardie slides 30% after earnings drop amid cost headwinds,Seeking Alpha,https://seekingalpha.com/news/4487307-james-hardie-slides-30-after-earnings-drop-amid-cost-headwinds?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
96,8/19/2025 11:55:20 PM,Closing Bell Movers: La-Z-Boy down 24% after earnings miss,TipRanks,/news/stocks/closing-bell-movers-la-z-boy-down-24-after-earnings-miss-1035055967
97,8/19/2025 11:35:10 PM,James Hardie (JHIUF) Receives a Hold from Citi,TipRanks,/news/stocks/james-hardie-jhiuf-receives-a-hold-from-citi-1035055950
98,8/19/2025 9:23:43 PM,"James Hardie Industries Non-GAAP EPS of $0.29 in-line, revenue of $899.9M misses by $58.84M",Seeking Alpha,https://seekingalpha.com/news/4487237-james-hardie-industries-non-gaap-eps-of-029-in-line-revenue-of-8999m-misses-by-5884m?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
99,8/19/2025 9:10:21 PM,James Hardie sees FY26 adjusted EBITDA $1.05B-$1.15B,TipRanks,/news/stocks/james-hardie-sees-fy26-adjusted-ebitda-1-05b--1-15b-1035055324
100,8/19/2025 9:05:09 PM,"James Hardie reports Q1 EPS 29c, consensus 29c",TipRanks,/news/stocks/james-hardie-reports-q1-eps-29c-consensus-29c-1035055334
101,8/12/2025 12:35:42 AM,UBS Sticks to Their Buy Rating for James Hardie (JHIUF),TipRanks,/news/stocks/ubs-sticks-to-their-buy-rating-for-james-hardie-jhiuf-1035022948
102,8/10/2025 12:15:40 PM,Jefferies Remains a Buy on James Hardie (JHIUF),TipRanks,/news/stocks/jefferies-remains-a-buy-on-james-hardie-jhiuf-1035014274
103,8/8/2025 1:41:09 PM,"Trade Desk downgraded, Instacart upgraded: Wall Street’s top analyst calls",TipRanks,/news/stocks/trade-desk-downgraded-instacart-upgraded-wall-street-s-top-analyst-calls-1035012056
104,8/8/2025 9:00:19 AM,James Hardie initiated with a Buy at Jefferies,TipRanks,/news/stocks/james-hardie-initiated-with-a-buy-at-jefferies-1035010277
105,8/7/2025 12:36:45 AM,Citi Sticks to Its Hold Rating for James Hardie (JHIUF),TipRanks,/news/stocks/citi-sticks-to-its-hold-rating-for-james-hardie-jhiuf-1034999511
106,8/3/2025 11:35:12 PM,Jarden Sticks to Their Buy Rating for James Hardie (JHIUF),TipRanks,/news/stocks/jarden-sticks-to-their-buy-rating-for-james-hardie-jhiuf-1034977416
107,7/29/2025 1:20:56 PM,James Hardie extends relationship with Beazer Homes with three-year deal,TipRanks,/news/stocks/james-hardie-extends-relationship-with-beazer-homes-with-three-year-deal-1034952975
108,7/28/2025 2:15:17 PM,James Hardie upgraded to Outperform from Neutral at Macquarie,TipRanks,/news/stocks/james-hardie-upgraded-to-outperform-from-neutral-at-macquarie-1034947407
109,7/28/2025 1:55:37 PM,James Hardie upgraded to Outperform from Neutral at Macquarie,TipRanks,/news/stocks/james-hardie-upgraded-to-outperform-from-neutral-at-macquarie-1034947341
110,7/23/2025 3:35:14 AM,Jarden Remains a Buy on James Hardie (JHIUF),TipRanks,/news/stocks/jarden-remains-a-buy-on-james-hardie-jhiuf-1034927708
111,7/18/2025 12:18:33 PM,J.P. Morgan downgrades James Hardie (JHIUF) to a Hold,TipRanks,/news/stocks/j-p-morgan-downgrades-james-hardie-jhiuf-to-a-hold-1034913726
112,7/17/2025 1:50:47 AM,RBC Capital Sticks to Its Hold Rating for James Hardie (JHIUF),TipRanks,/news/stocks/rbc-capital-sticks-to-its-hold-rating-for-james-hardie-jhiuf-1034907523
113,7/16/2025 6:07:05 AM,Jarden Reaffirms Their Buy Rating on James Hardie (JHIUF),TipRanks,/news/stocks/jarden-reaffirms-their-buy-rating-on-james-hardie-jhiuf-1034903164
114,7/10/2025 8:20:36 PM,James Hardie initiated with an Outperform at Baird,TipRanks,/news/stocks/james-hardie-initiated-with-an-outperform-at-baird-1034888299
115,7/9/2025 1:05:19 AM,James Hardie (JHIUF) Gets a Hold from Ord Minnett,TipRanks,/news/stocks/james-hardie-jhiuf-gets-a-hold-from-ord-minnett-1034880809
